drug,cell_line_id,n_cells
Adagrasib,CVCL_C466,23787
Adagrasib,CVCL_0069,23716
Trametinib,CVCL_0480,23623
Afatinib,CVCL_1285,23214
Clonidine (hydrochloride),CVCL_0459,23111
Tirabrutinib (hydrochloride),CVCL_0459,23091
Canagliflozin (hemihydrate),CVCL_0459,23073
Artemether,CVCL_0459,23047
Adagrasib,CVCL_0292,23014
Almonertinib (mesylate),CVCL_0334,22817
Adagrasib,CVCL_1055,22780
Adagrasib,CVCL_1094,22728
Ponatinib,CVCL_0459,22669
Bicalutamide,CVCL_0459,22664
Allopurinol,CVCL_0546,22644
Afatinib,CVCL_0399,22603
Adagrasib,CVCL_0366,22574
Gemcitabine,CVCL_0546,22500
DMSO_TF,CVCL_1724,22444
Methylthiouracil,CVCL_0480,22357
Methyl aminolevulinate (hydrochloride),CVCL_0459,22323
Berbamine,CVCL_0459,22314
Brimonidine,CVCL_0459,22303
Gefitinib,CVCL_0546,22289
Binimetinib,CVCL_1285,22284
Adagrasib,CVCL_0218,22114
Piroxicam,CVCL_0459,22102
Quinestrol,CVCL_0546,22051
Artesunate,CVCL_0546,22041
Filgotinib,CVCL_0459,22012
Topotecan (hydrochloride),CVCL_0480,21911
Chlorhexidine (diacetate),CVCL_0459,21866
Esmolol (hydrochloride),CVCL_0546,21792
Ponatinib,CVCL_0546,21695
Ataluren,CVCL_0546,21611
Malotilate,CVCL_0459,21450
Gemcitabine,CVCL_0459,21360
Almonertinib (mesylate),CVCL_1285,21220
Omeprazole,CVCL_0546,21198
Paclitaxel,CVCL_0459,20976
Cytarabine,CVCL_0334,20840
Goserelin (acetate),CVCL_0546,20821
Carbidopa (monohydrate),CVCL_0546,20807
Methyl aminolevulinate (hydrochloride),CVCL_0546,20759
Belumosudil,CVCL_0334,20721
Cyclosporin A,CVCL_0459,20705
Everolimus,CVCL_0546,20633
Darolutamide,CVCL_0459,20632
Fumaric acid,CVCL_0334,20564
Captopril,CVCL_0459,20553
Quinestrol,CVCL_0459,20546
Paclitaxel,CVCL_0546,20538
Edoxaban (tosylate monohydrate),CVCL_0546,20481
Tirabrutinib (hydrochloride),CVCL_0546,20436
Pentoxifylline,CVCL_0459,20435
Anethole trithione,CVCL_0546,20388
Pyridoxine (hydrochloride),CVCL_0546,20298
Rucaparib (phosphate),CVCL_0459,20297
Uridine,CVCL_0480,20281
Ornidazole,CVCL_0546,20233
Gallic acid,CVCL_0546,20225
Almonertinib (mesylate),CVCL_0428,20159
S-Adenosyl-L-methionine (disulfate tosylate),CVCL_0546,20138
Berbamine (dihydrochloride),CVCL_0334,20134
Adagrasib,CVCL_0099,20083
Captopril,CVCL_0546,20075
Citalopram (hydrobromide),CVCL_0459,20070
Fusidic acid,CVCL_0546,20045
Regorafenib,CVCL_0480,20034
Canagliflozin (hemihydrate),CVCL_0546,20002
Fulvestrant,CVCL_0546,19995
Brimonidine,CVCL_0546,19963
Entecavir (monohydrate),CVCL_0546,19897
Relugolix,CVCL_0546,19887
Abiraterone acetate,CVCL_0459,19872
Clopidogrel,CVCL_0546,19820
Cloxacillin (sodium),CVCL_0546,19804
Berberine (chloride hydrate),CVCL_0546,19779
Everolimus,CVCL_0459,19757
Tolcapone,CVCL_0546,19742
Riluzole hydrochloride,CVCL_0546,19726
Fumaric acid,CVCL_1285,19671
Trametinib,CVCL_1285,19665
Carbidopa (monohydrate),CVCL_0459,19643
Hexylresorcinol,CVCL_0546,19642
Bicalutamide,CVCL_0546,19616
Vemurafenib,CVCL_0459,19591
Afatinib,CVCL_0334,19566
Drospirenone,CVCL_0459,19530
Folic acid,CVCL_0546,19518
Artesunate,CVCL_0459,19490
Dimethyl fumarate,CVCL_0546,19487
Binimetinib,CVCL_0334,19438
Pravastatin (sodium),CVCL_0334,19404
Dimethyl fumarate,CVCL_0459,19399
Piroxicam,CVCL_0546,19353
Malotilate,CVCL_0546,19279
Adenine,CVCL_0546,19239
Filgotinib,CVCL_0546,19236
Abiraterone acetate,CVCL_0546,19173
Econazole,CVCL_0459,19173
Lipoic acid,CVCL_0546,19166
Flumatinib (mesylate),CVCL_0334,19147
Adagrasib,CVCL_0179,19115
Afatinib,CVCL_0428,19109
Terfenadine,CVCL_0546,19089
Almonertinib (mesylate),CVCL_1056,19027
Goserelin (acetate),CVCL_0459,19026
Omeprazole (sodium),CVCL_0459,19004
Bexarotene,CVCL_0459,18988
Baicalin,CVCL_0546,18962
Glasdegib,CVCL_0546,18923
Fumaric acid,CVCL_0428,18918
Pentagastrin,CVCL_0546,18873
Pentamidine (isethionate),CVCL_0546,18815
Cytarabine,CVCL_1285,18808
Perindopril (erbumine),CVCL_0480,18804
Panobinostat,CVCL_0459,18787
Cytarabine,CVCL_1693,18776
Artemether,CVCL_0546,18771
Afatinib,CVCL_0293,18733
Vemurafenib,CVCL_0546,18691
Indacaterol (maleate),CVCL_0459,18690
Drospirenone,CVCL_0546,18688
Berbamine (dihydrochloride),CVCL_0428,18655
Gefitinib,CVCL_0480,18652
Balsalazide (sodium hydrate),CVCL_0546,18650
Afatinib,CVCL_1056,18641
Tirabrutinib,CVCL_0546,18632
Naproxen,CVCL_0334,18627
Binimetinib,CVCL_1056,18588
γ-Oryzanol,CVCL_0459,18585
Afatinib,CVCL_1693,18565
Afatinib,CVCL_1119,18539
Omeprazole (sodium),CVCL_0546,18520
Aliskiren,CVCL_0546,18457
Berberine (chloride hydrate),CVCL_0459,18419
Naproxen,CVCL_0428,18406
Pravastatin (sodium),CVCL_0428,18386
Raltitrexed,CVCL_0546,18384
Neratinib (maleate),CVCL_0546,18372
Tirabrutinib,CVCL_0459,18369
Econazole,CVCL_0546,18366
Baicalin,CVCL_0459,18294
Diphenhydramine,CVCL_0546,18263
Cytarabine,CVCL_0428,18240
Methylthiouracil,CVCL_0334,18233
Berbamine (dihydrochloride),CVCL_1285,18226
Cyclosporin A,CVCL_0546,18219
Tolcapone,CVCL_0459,18205
Sivelestat (sodium tetrahydrate),CVCL_0459,18172
Zileuton,CVCL_0459,18159
Flumatinib (mesylate),CVCL_1285,18151
Afatinib,CVCL_0023,18139
Daidzin,CVCL_0334,18135
Phenylephrine (hydrochloride),CVCL_0546,18132
Retinoic acid,CVCL_0546,18130
Lumateperone (tosylate),CVCL_0546,18088
Rucaparib (phosphate),CVCL_0546,18080
Benztropine (mesylate),CVCL_0546,18037
Trametinib (DMSO_TF solvate),CVCL_0546,18034
Delamanid,CVCL_0546,18015
Hexylresorcinol,CVCL_0459,17998
Pravastatin (sodium),CVCL_1285,17995
Cloxacillin (sodium),CVCL_0459,17966
Anastrozole,CVCL_0546,17942
Asciminib,CVCL_0459,17935
Bestatin (hydrochloride),CVCL_0459,17930
Anastrozole,CVCL_0459,17926
Belumosudil,CVCL_1285,17889
Berbamine (dihydrochloride),CVCL_1693,17883
Lucanthone,CVCL_0546,17880
S-Adenosyl-L-methionine (disulfate tosylate),CVCL_0459,17832
Ataluren,CVCL_0480,17824
Pyridoxine (hydrochloride),CVCL_0459,17808
Ornidazole,CVCL_0459,17775
Citalopram (hydrobromide),CVCL_0546,17758
Darolutamide,CVCL_0546,17717
Fedratinib (hydrochloride hydrate),CVCL_0459,17714
Flumatinib (mesylate),CVCL_0428,17708
Dapagliflozin,CVCL_0480,17707
Pentoxifylline,CVCL_0546,17631
Phenylephrine (hydrochloride),CVCL_0459,17630
Malotilate,CVCL_0480,17594
Voriconazole,CVCL_0459,17574
Lucanthone,CVCL_0459,17564
Irinotecan (hydrochloride),CVCL_0334,17523
DTP3,CVCL_0546,17516
Raltitrexed,CVCL_0459,17514
Aprepitant,CVCL_0459,17506
Bestatin (hydrochloride),CVCL_0546,17506
Benztropine (mesylate),CVCL_0459,17486
Adagrasib,CVCL_1098,17484
Almonertinib (mesylate),CVCL_1693,17478
RMC-6236,CVCL_0546,17435
Delamanid,CVCL_0459,17425
Fumaric acid,CVCL_1056,17419
Methotrexate,CVCL_0459,17408
Bexarotene,CVCL_0546,17390
Bestatin,CVCL_0459,17382
Relugolix,CVCL_0459,17372
Pexidartinib (hydrochloride),CVCL_0546,17367
Clopidogrel,CVCL_0480,17362
Voriconazole,CVCL_0546,17354
Methylthiouracil,CVCL_1285,17300
Harringtonine,CVCL_0459,17297
Loperamide (hydrochloride),CVCL_0459,17296
(R)-Verapamil (hydrochloride),CVCL_0546,17292
Ribociclib,CVCL_0546,17286
Pioglitazone,CVCL_0459,17285
Lopinavir,CVCL_0459,17251
Diammonium Glycyrrhizinate,CVCL_0546,17248
Indacaterol (maleate),CVCL_0546,17214
Allopurinol,CVCL_0480,17210
Edoxaban (tosylate monohydrate),CVCL_0459,17206
Naproxen,CVCL_1285,17206
Dexamethasone,CVCL_0546,17190
Daidzin,CVCL_0428,17189
Uridine,CVCL_0334,17183
Lipoic acid,CVCL_0459,17171
Erlotinib,CVCL_0546,17160
Harringtonine,CVCL_0546,17157
Tetracycline (hydrochloride),CVCL_0459,17138
Esmolol (hydrochloride),CVCL_0480,17119
Lopinavir,CVCL_0546,17108
Pioglitazone,CVCL_0546,17104
Entecavir (monohydrate),CVCL_0480,17095
Ranolazine,CVCL_0459,17088
Gemfibrozil,CVCL_0546,17082
Entrectinib,CVCL_0546,17052
Rimonabant,CVCL_0546,17042
Pravastatin (sodium),CVCL_1056,17018
Tolmetin,CVCL_0546,17001
Aliskiren,CVCL_0459,16995
Erlotinib,CVCL_0459,16974
5-Fluorouracil,CVCL_0459,16955
Cysteamine (hydrochloride),CVCL_0546,16933
Folic acid,CVCL_0459,16929
Afatinib,CVCL_0371,16928
Gallic acid,CVCL_0459,16924
Daidzin,CVCL_1693,16921
Loperamide (hydrochloride),CVCL_0546,16918
Adenosine,CVCL_0546,16916
Topotecan (hydrochloride),CVCL_0334,16900
Fumaric acid,CVCL_1693,16893
Plicamycin,CVCL_0546,16863
Terfenadine,CVCL_0459,16860
γ-Oryzanol,CVCL_0546,16852
Sulfisoxazole,CVCL_0546,16839
Panobinostat,CVCL_0546,16834
Fedratinib (hydrochloride hydrate),CVCL_0546,16826
Bergenin,CVCL_0546,16826
Dabrafenib,CVCL_0459,16798
Ponatinib,CVCL_0480,16773
Rimonabant (Hydrochloride),CVCL_0546,16744
Topotecan (hydrochloride),CVCL_1693,16744
Daidzin,CVCL_1285,16740
Belumosudil,CVCL_0428,16735
Zileuton,CVCL_0546,16713
Fusidic acid,CVCL_0459,16713
8-Hydroxyquinoline,CVCL_0546,16710
Berbamine,CVCL_0480,16670
Entrectinib,CVCL_0459,16640
Fingolimod (hydrochloride),CVCL_0546,16625
Bestatin,CVCL_0546,16625
Berbamine (dihydrochloride),CVCL_1056,16596
Pasireotide (acetate),CVCL_0546,16581
Diphenhydramine,CVCL_0459,16575
Balsalazide (sodium hydrate),CVCL_0459,16572
Belumosudil,CVCL_1056,16548
Crizotinib (hydrochloride),CVCL_0546,16542
Neratinib (maleate),CVCL_0459,16536
Aspirin,CVCL_0546,16534
Ribociclib,CVCL_0459,16532
Anethole trithione,CVCL_0459,16525
Pentamidine (isethionate),CVCL_0459,16501
Fostamatinib (disodium hexahydrate),CVCL_0546,16494
Brimonidine,CVCL_0480,16491
Almonertinib (mesylate),CVCL_0399,16472
Ranolazine,CVCL_0546,16469
Afatinib,CVCL_1550,16423
5-Fluorouracil,CVCL_0546,16414
Homoharringtonine,CVCL_0546,16408
Perindopril (erbumine),CVCL_0334,16388
Olanzapine,CVCL_0546,16364
Rutin (trihydrate),CVCL_0546,16356
Irinotecan (hydrochloride),CVCL_0428,16355
Cinacalcet,CVCL_0546,16330
Cinacalcet,CVCL_0459,16329
Adagrasib,CVCL_1239,16308
Isocorydine,CVCL_0546,16304
Methotrexate,CVCL_0546,16296
Atazanavir (sulfate),CVCL_0459,16284
Vitamin K4,CVCL_0459,16272
Sacubitril/Valsartan,CVCL_0546,16223
Afatinib,CVCL_1381,16205
Afatinib,CVCL_0359,16190
Mebendazole,CVCL_0459,16186
Flumatinib (mesylate),CVCL_1056,16185
Niclosamide (olamine),CVCL_0546,16173
Canagliflozin (hemihydrate),CVCL_0480,16170
Regorafenib,CVCL_0399,16167
Afatinib,CVCL_0504,16126
Sodium Salicylate,CVCL_0546,16117
Belumosudil,CVCL_1693,16109
Minodronic acid,CVCL_0546,16103
Lumateperone (tosylate),CVCL_0459,16099
L-Eflornithine (monohydrochloride),CVCL_0459,16078
Carbidopa (monohydrate),CVCL_0480,16073
Fulvestrant,CVCL_0480,16039
Gefitinib,CVCL_0334,16037
Asciminib,CVCL_0546,16030
Glasdegib,CVCL_0459,16029
c-Kit-IN-1,CVCL_0546,16029
Ivermectin,CVCL_0546,16018
Rutin (trihydrate),CVCL_0459,16005
Afatinib,CVCL_0152,15997
Riluzole hydrochloride,CVCL_0459,15994
Omeprazole,CVCL_0480,15993
Crizotinib (hydrochloride),CVCL_0459,15991
Dabrafenib,CVCL_0546,15982
Tirabrutinib (hydrochloride),CVCL_0480,15979
Afatinib,CVCL_0131,15973
Irinotecan (hydrochloride),CVCL_1285,15968
Aspirin,CVCL_0459,15959
Posaconazole,CVCL_0459,15955
Sacubitril/Valsartan,CVCL_0459,15953
Captopril,CVCL_0480,15949
(S)-Crizotinib,CVCL_0546,15947
Salicylic acid,CVCL_0546,15941
Aprepitant,CVCL_0546,15914
Retinoic acid,CVCL_0459,15903
olaparib,CVCL_0546,15895
Triclosan,CVCL_0546,15884
Norepinephrine (hydrochloride),CVCL_0546,15864
Mebendazole,CVCL_0546,15853
RMC-6236,CVCL_0459,15840
Flumatinib (mesylate),CVCL_1693,15840
Cytarabine,CVCL_1056,15830
Idoxuridine,CVCL_0459,15817
Irinotecan (hydrochloride),CVCL_1056,15809
Trametinib (DMSO_TF solvate),CVCL_0459,15798
Diammonium Glycyrrhizinate,CVCL_0459,15789
Gemfibrozil,CVCL_0459,15784
Palmatine (chloride),CVCL_0546,15769
Tetracycline (hydrochloride),CVCL_0546,15755
Cilostazol,CVCL_0546,15747
Sulfisoxazole,CVCL_0459,15734
Amsacrine,CVCL_0546,15730
Sivelestat (sodium tetrahydrate),CVCL_0546,15693
Darolutamide,CVCL_0480,15680
Niclosamide (olamine),CVCL_0459,15662
Almonertinib (mesylate),CVCL_1119,15659
Pentagastrin,CVCL_0459,15657
Gemcitabine,CVCL_0399,15656
8-Hydroxyquinoline,CVCL_0459,15650
Cytarabine,CVCL_0399,15626
Regorafenib,CVCL_1285,15596
Binimetinib,CVCL_0023,15584
Posaconazole,CVCL_0546,15560
Dapagliflozin,CVCL_0334,15559
Furosemide,CVCL_0546,15554
Uridine,CVCL_1285,15551
Lactate (calcium),CVCL_0459,15544
Trametinib,CVCL_1056,15501
Artemether,CVCL_0480,15481
Belumosudil,CVCL_1119,15481
Vitamin K4,CVCL_0546,15480
Tazarotene,CVCL_0459,15480
Vortioxetine,CVCL_0546,15453
Imiquimod (hydrochloride),CVCL_0459,15424
(R)-Verapamil (hydrochloride),CVCL_0459,15422
Fingolimod (hydrochloride),CVCL_0459,15415
Fumaric acid,CVCL_1119,15403
Binimetinib,CVCL_0428,15389
Adenine,CVCL_0459,15369
Ouabain (Octahydrate),CVCL_0546,15362
Pexidartinib (hydrochloride),CVCL_0459,15360
Methyl aminolevulinate (hydrochloride),CVCL_0480,15357
Lonafarnib,CVCL_0459,15339
Minodronic acid,CVCL_0459,15336
Piroxicam,CVCL_0480,15315
Talc,CVCL_0459,15314
Quinidine (15% dihydroquinidine),CVCL_0459,15272
Nafamostat (mesylate),CVCL_0459,15265
DTP3,CVCL_0459,15263
Topotecan (hydrochloride),CVCL_1285,15241
Estrone sulfate (potassium),CVCL_0459,15240
Pentoxifylline,CVCL_0480,15232
Tucidinostat,CVCL_0546,15230
Isocorydine,CVCL_0459,15228
Megestrol,CVCL_0546,15208
Methylthiouracil,CVCL_1056,15206
Sapanisertib,CVCL_0546,15198
Plicamycin,CVCL_0459,15193
Pravastatin (sodium),CVCL_1693,15188
Tazarotene,CVCL_0546,15188
Sildenafil,CVCL_0459,15183
Idoxuridine,CVCL_0546,15174
Daidzin,CVCL_1056,15151
Cytarabine,CVCL_1119,15143
Tucatinib,CVCL_0546,15129
Afatinib,CVCL_0320,15110
Pasireotide (acetate),CVCL_0459,15093
Sildenafil,CVCL_0546,15076
Atazanavir (sulfate),CVCL_0546,15071
Abemaciclib,CVCL_0459,15068
Larotrectinib sulfate,CVCL_0546,15052
olaparib,CVCL_0459,15025
(S)-Crizotinib,CVCL_0459,15023
Rimonabant,CVCL_0459,15008
Rimonabant (Hydrochloride),CVCL_0459,14999
Filgotinib,CVCL_0480,14985
Cabozantinib (S-malate),CVCL_0546,14984
Sinomenine,CVCL_0546,14979
Methylthiouracil,CVCL_0428,14973
Fumaric acid,CVCL_0399,14972
Neratinib,CVCL_0546,14957
Tucatinib,CVCL_0459,14952
Sapanisertib,CVCL_0459,14939
Fenofibrate,CVCL_0546,14938
Naproxen,CVCL_1693,14935
Berbamine,CVCL_1285,14928
Flutamide,CVCL_0459,14927
Temsirolimus,CVCL_0546,14903
Gefitinib,CVCL_1285,14901
Acetazolamide,CVCL_0459,14895
Cysteamine (hydrochloride),CVCL_0459,14887
Adenosine,CVCL_0459,14887
Clotrimazole,CVCL_0546,14834
Triamcinolone,CVCL_0546,14831
Nafamostat (mesylate),CVCL_0546,14820
Topotecan (hydrochloride),CVCL_0428,14808
Radotinib,CVCL_0546,14801
Rucaparib (phosphate),CVCL_0480,14800
Bergenin,CVCL_0459,14797
Ataluren,CVCL_0334,14797
Clonidine (hydrochloride),CVCL_0399,14774
Flumatinib (mesylate),CVCL_0399,14771
Naproxen,CVCL_1056,14749
Flutamide,CVCL_0546,14746
Irinotecan (hydrochloride),CVCL_1693,14736
c-Kit-IN-1,CVCL_0459,14732
Imiquimod (hydrochloride),CVCL_0546,14729
Larotrectinib sulfate,CVCL_0459,14711
Triclosan,CVCL_0459,14694
Adagrasib,CVCL_1724,14676
Oxaliplatin,CVCL_0546,14654
Quinidine (15% dihydroquinidine),CVCL_0546,14653
L-Eflornithine (monohydrochloride),CVCL_0546,14643
Sulfatinib,CVCL_0546,14636
Almonertinib (mesylate),CVCL_0023,14628
Bicalutamide,CVCL_0480,14627
Tucidinostat,CVCL_0459,14618
Chlorhexidine (diacetate),CVCL_0480,14614
Flumatinib (mesylate),CVCL_1119,14607
Abiraterone acetate,CVCL_0480,14594
Abemaciclib,CVCL_0546,14577
Proglumide,CVCL_0546,14575
Fluvoxamine (maleate),CVCL_0546,14571
Clonidine (hydrochloride),CVCL_0480,14569
Neratinib,CVCL_0459,14548
Gemcitabine,CVCL_0293,14524
Trifluridine,CVCL_0546,14513
Pralsetinib,CVCL_0546,14497
Oxaliplatin,CVCL_0459,14494
Pravastatin (sodium),CVCL_0399,14473
Clonidine (hydrochloride),CVCL_1285,14452
Megestrol,CVCL_0459,14447
Tadalafil,CVCL_0546,14440
Demeclocycline,CVCL_0546,14433
Osimertinib (mesylate),CVCL_0459,14420
Sodium Salicylate,CVCL_0459,14413
Selinexor,CVCL_0546,14399
Pravastatin (sodium),CVCL_1119,14391
Rapamycin,CVCL_0546,14388
Uridine,CVCL_0428,14376
Belinostat,CVCL_0459,14368
Palmatine (chloride),CVCL_0459,14335
Salicylic acid,CVCL_0459,14332
Fluvoxamine,CVCL_0546,14321
Chlorhexidine (diacetate),CVCL_0399,14307
Homoharringtonine,CVCL_0293,14299
Allopurinol,CVCL_0334,14290
Everolimus,CVCL_0399,14282
Tolmetin,CVCL_0459,14277
BAY1125976,CVCL_0546,14250
Olanzapine,CVCL_0459,14245
Allantoin,CVCL_0546,14240
Cilostazol,CVCL_0459,14237
AZD-8055,CVCL_0459,14233
Osimertinib (mesylate),CVCL_0546,14227
Resveratrol,CVCL_0546,14216
Lapatinib ditosylate,CVCL_0546,14215
Lactate (calcium),CVCL_0546,14215
Budesonide,CVCL_0459,14199
BI-3406,CVCL_0459,14189
Lonafarnib,CVCL_0546,14184
Trametinib,CVCL_0293,14166
Binimetinib,CVCL_0359,14159
BI-3406,CVCL_0546,14155
Omeprazole,CVCL_0334,14150
Pyridoxine,CVCL_0546,14148
Vandetanib,CVCL_0459,14138
Darinaparsin,CVCL_0546,14108
Chlorhexidine (diacetate),CVCL_1285,14108
Fumaric acid,CVCL_0023,14107
Afatinib,CVCL_1097,14105
Trametinib,CVCL_0334,14103
Fostamatinib (disodium hexahydrate),CVCL_0459,14076
Perindopril (erbumine),CVCL_1285,14074
Berbamine,CVCL_0399,14070
Tadalafil,CVCL_0459,14069
Lapatinib ditosylate,CVCL_0459,14067
Esmolol (hydrochloride),CVCL_0334,14034
Estrone sulfate (potassium),CVCL_0546,14020
Auranofin,CVCL_0459,14016
Dimethyl fumarate,CVCL_0480,14012
Ivermectin,CVCL_0459,14010
Ropivacaine (hydrochloride monohydrate),CVCL_0546,14009
Budesonide,CVCL_0546,14002
Talc,CVCL_0546,13997
AZD-8055,CVCL_0546,13991
Citalopram (hydrobromide),CVCL_0480,13990
5-Azacytidine,CVCL_0546,13987
Binimetinib,CVCL_1693,13986
Selinexor,CVCL_0459,13983
Tofacitinib,CVCL_0546,13977
Belumosudil,CVCL_0399,13977
Ivabradine (hydrochloride),CVCL_0546,13964
Naproxen,CVCL_1119,13959
Norepinephrine (hydrochloride),CVCL_0459,13951
Cytarabine (hydrochloride),CVCL_0546,13921
Ribociclib,CVCL_0480,13908
Econazole,CVCL_0480,13903
Afatinib,CVCL_1717,13895
Tranilast,CVCL_0546,13873
Eplerenone,CVCL_0546,13868
Methylthiouracil,CVCL_1693,13862
Tubulin inhibitor 6,CVCL_0546,13856
Fumaric acid,CVCL_1381,13846
Almonertinib (mesylate),CVCL_1381,13842
Afatinib,CVCL_0397,13832
Pralsetinib,CVCL_0459,13805
Delamanid,CVCL_0480,13804
Verapamil,CVCL_0546,13801
Meloxicam,CVCL_0546,13801
AT7519,CVCL_0546,13792
DMSO_TF,CVCL_0028,13778
Cyclosporin A,CVCL_0480,13775
Binimetinib,CVCL_0399,13767
Omeprazole (sodium),CVCL_0480,13745
Tetracycline (hydrochloride),CVCL_0480,13745
Dexmedetomidine,CVCL_0546,13744
Ornidazole,CVCL_0480,13730
Afatinib,CVCL_1478,13670
Elagolix sodium,CVCL_0546,13670
Acetazolamide,CVCL_0546,13657
Meloxicam,CVCL_0459,13641
Edoxaban (tosylate monohydrate),CVCL_0480,13626
Vortioxetine,CVCL_0459,13615
Ponatinib,CVCL_0334,13614
Ataluren,CVCL_1285,13610
Quinestrol,CVCL_0399,13607
Tofacitinib (citrate),CVCL_0546,13606
Clotrimazole,CVCL_0459,13598
